2025-04-08 19:35:28,384 - Threat Detected: {'timestamp': 1744121128.3709037, 'source_ip': '192.168.1.238', 'dest_ip': '10.0.0.186', 'packet_size': 1139, 'protocol': 0, 'flag': 1, 'payload': 0.9665912430315104}
2025-04-08 19:35:28,899 - Threat Detected: {'timestamp': 1744121128.885861, 'source_ip': '192.168.1.202', 'dest_ip': '10.0.0.36', 'packet_size': 636, 'protocol': 0, 'flag': 1, 'payload': 0.5055939498115175}
2025-04-08 19:35:31,475 - Threat Detected: {'timestamp': 1744121131.4631627, 'source_ip': '192.168.1.139', 'dest_ip': '10.0.0.111', 'packet_size': 480, 'protocol': 0, 'flag': 0, 'payload': 0.8502204703491815}
2025-04-08 19:35:33,012 - Threat Detected: {'timestamp': 1744121133.0011063, 'source_ip': '192.168.1.52', 'dest_ip': '10.0.0.153', 'packet_size': 751, 'protocol': 0, 'flag': 1, 'payload': 0.9305165544749969}
2025-04-08 19:35:35,086 - Threat Detected: {'timestamp': 1744121135.0668375, 'source_ip': '192.168.1.47', 'dest_ip': '10.0.0.56', 'packet_size': 650, 'protocol': 0, 'flag': 1, 'payload': 0.578787786507427}
2025-04-08 19:35:36,632 - Threat Detected: {'timestamp': 1744121136.6179023, 'source_ip': '192.168.1.120', 'dest_ip': '10.0.0.215', 'packet_size': 756, 'protocol': 1, 'flag': 0, 'payload': 0.7642816934732619}
2025-04-08 19:35:37,151 - Threat Detected: {'timestamp': 1744121137.133547, 'source_ip': '192.168.1.67', 'dest_ip': '10.0.0.240', 'packet_size': 801, 'protocol': 0, 'flag': 1, 'payload': 0.9075678243161444}
2025-04-08 19:35:38,184 - Threat Detected: {'timestamp': 1744121138.1687398, 'source_ip': '192.168.1.242', 'dest_ip': '10.0.0.92', 'packet_size': 731, 'protocol': 0, 'flag': 0, 'payload': 0.7685269069763303}
2025-04-08 19:35:41,276 - Threat Detected: {'timestamp': 1744121141.262645, 'source_ip': '192.168.1.79', 'dest_ip': '10.0.0.170', 'packet_size': 350, 'protocol': 0, 'flag': 0, 'payload': 0.9295619957754291}
2025-04-08 19:35:43,846 - Threat Detected: {'timestamp': 1744121143.830123, 'source_ip': '192.168.1.177', 'dest_ip': '10.0.0.240', 'packet_size': 1349, 'protocol': 0, 'flag': 1, 'payload': 0.7022593914122133}
2025-04-08 19:35:44,362 - Threat Detected: {'timestamp': 1744121144.348074, 'source_ip': '192.168.1.196', 'dest_ip': '10.0.0.222', 'packet_size': 318, 'protocol': 0, 'flag': 1, 'payload': 0.8595254671447676}
2025-04-08 19:35:44,875 - Threat Detected: {'timestamp': 1744121144.8630948, 'source_ip': '192.168.1.124', 'dest_ip': '10.0.0.77', 'packet_size': 523, 'protocol': 1, 'flag': 0, 'payload': 0.7408130730881183}
2025-04-08 19:35:45,907 - Threat Detected: {'timestamp': 1744121145.8903222, 'source_ip': '192.168.1.95', 'dest_ip': '10.0.0.166', 'packet_size': 551, 'protocol': 0, 'flag': 0, 'payload': 0.774232684602442}
2025-04-08 19:35:47,450 - Threat Detected: {'timestamp': 1744121147.4364336, 'source_ip': '192.168.1.162', 'dest_ip': '10.0.0.14', 'packet_size': 1366, 'protocol': 0, 'flag': 1, 'payload': 0.635451002143804}
2025-04-08 19:35:48,997 - Threat Detected: {'timestamp': 1744121148.9807565, 'source_ip': '192.168.1.150', 'dest_ip': '10.0.0.106', 'packet_size': 645, 'protocol': 1, 'flag': 0, 'payload': 0.7283996409039172}
2025-04-08 19:35:51,051 - Threat Detected: {'timestamp': 1744121151.038209, 'source_ip': '192.168.1.232', 'dest_ip': '10.0.0.151', 'packet_size': 412, 'protocol': 1, 'flag': 0, 'payload': 0.756402604836915}
2025-04-08 19:35:53,099 - Threat Detected: {'timestamp': 1744121153.0856638, 'source_ip': '192.168.1.12', 'dest_ip': '10.0.0.82', 'packet_size': 1186, 'protocol': 1, 'flag': 1, 'payload': 0.8478571247538262}
2025-04-08 19:35:54,130 - Threat Detected: {'timestamp': 1744121154.113815, 'source_ip': '192.168.1.129', 'dest_ip': '10.0.0.125', 'packet_size': 360, 'protocol': 1, 'flag': 1, 'payload': 0.9776051181986732}
2025-04-08 19:35:55,164 - Threat Detected: {'timestamp': 1744121155.1484048, 'source_ip': '192.168.1.116', 'dest_ip': '10.0.0.69', 'packet_size': 456, 'protocol': 0, 'flag': 1, 'payload': 0.7621062963480494}
2025-04-08 19:36:02,371 - Threat Detected: {'timestamp': 1744121162.357889, 'source_ip': '192.168.1.141', 'dest_ip': '10.0.0.50', 'packet_size': 1104, 'protocol': 0, 'flag': 0, 'payload': 0.806231085024105}
2025-04-08 19:36:04,424 - Threat Detected: {'timestamp': 1744121164.4152443, 'source_ip': '192.168.1.16', 'dest_ip': '10.0.0.78', 'packet_size': 1257, 'protocol': 1, 'flag': 1, 'payload': 0.9546741164753743}
2025-04-08 19:36:12,635 - Threat Detected: {'timestamp': 1744121172.627705, 'source_ip': '192.168.1.196', 'dest_ip': '10.0.0.7', 'packet_size': 1194, 'protocol': 0, 'flag': 0, 'payload': 0.8987454365648923}
2025-04-08 19:36:13,664 - Threat Detected: {'timestamp': 1744121173.650832, 'source_ip': '192.168.1.107', 'dest_ip': '10.0.0.138', 'packet_size': 437, 'protocol': 1, 'flag': 0, 'payload': 0.7876074646867225}
2025-04-08 19:36:15,717 - Threat Detected: {'timestamp': 1744121175.7097728, 'source_ip': '192.168.1.65', 'dest_ip': '10.0.0.156', 'packet_size': 957, 'protocol': 0, 'flag': 0, 'payload': 0.7286849883048803}
2025-04-08 19:36:17,781 - Threat Detected: {'timestamp': 1744121177.7644343, 'source_ip': '192.168.1.74', 'dest_ip': '10.0.0.70', 'packet_size': 1029, 'protocol': 0, 'flag': 0, 'payload': 0.8934291440775706}
2025-04-08 19:36:18,300 - Threat Detected: {'timestamp': 1744121178.2817612, 'source_ip': '192.168.1.253', 'dest_ip': '10.0.0.205', 'packet_size': 434, 'protocol': 1, 'flag': 1, 'payload': 0.9499007548745516}
2025-04-08 19:36:19,321 - Threat Detected: {'timestamp': 1744121179.3156388, 'source_ip': '192.168.1.103', 'dest_ip': '10.0.0.2', 'packet_size': 1124, 'protocol': 1, 'flag': 0, 'payload': 0.823135633309403}
